disc_year,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,pl_ratror,st_teff,sy_dist
2010,1,0,0,1,0,0,0,0,0,0,13.2406,0.1055,10.87,874,0.53,,600,0.1269,5075,338.386
2010,1,0,0,1,0,0,0,0,0,0,2.99433,0.044,15.984,743.7222,,,1735,,6440,655.037
2010,1,0,0,1,0,0,0,0,0,0,2.994325,0.04351,15.581,791.3967,0,,1715,,,655.037
2010,1,0,0,1,0,0,0,0,0,0,,,,,,,,0.0999,6343,655.037
2010,1,0,0,1,0,0,0,0,0,0,2.994325,0.04407,16.029,832.7146,0.36,,,,6440,655.037
2010,1,0,0,1,0,0,0,0,0,0,2.99433,0.0436,16.03,740.51,0,,1657,0.107,6440,655.037
2010,1,0,0,1,0,0,0,0,0,0,2.828042,0.04016,16.14,291.438,0.07,,1442,,5675,1126.37
2010,1,0,0,1,0,0,0,0,0,0,2.828041,,,,,,,0.1674,5675,1126.37
2010,1,0,0,1,0,0,0,0,0,0,2.828042,0.04013,16.141,290.81445,0.05,,,,5675,1126.37
2010,1,0,0,1,0,0,0,0,0,0,2.82803915,,17.76,,,661.13,1293,,5675,1126.37
2010,1,0,0,1,0,0,0,0,0,0,2.828042,0.0394,15.132,281.91521,,,1410,,5675,1126.37
2010,1,0,0,1,0,0,0,0,0,0,2.82805268,0.0392,15.065,277.46559,,,1417,0.1314,,1126.37
2010,1,0,0,1,0,0,0,0,0,0,4.03519,0.051,9.92,415.704,0,,1700,0.0909,5945,1148.93
2010,1,0,0,1,0,0,0,0,0,0,4.03515,,,,,,,0.1004,5945,1148.93
2010,1,0,0,1,0,0,0,0,0,0,4.03504444,,12.533,,,546.53,1233,,5945,1148.93
2010,1,0,0,1,0,0,0,0,0,0,4.03519,0.051,14.034,416.99296,,,1432,,5945,1148.93
2010,1,0,0,1,0,0,0,0,0,0,4.03519,0.05107,9.92,423.03173,0.067,,,,5945,1148.93
2010,1,0,0,1,0,0,0,0,0,0,1.51214,0.027,12.22,2415.4,0,,1952,0.0925,6035,1744.6
2010,1,0,0,1,0,0,0,0,0,0,1.51214,0.02687,11.411,2437.7561,,,1936,,6035,1744.6
2010,1,0,0,1,0,0,0,0,0,0,1.51214,0.02691,12.218,2358.2986,0.036,,,,6040,1744.6
2011,1,0,0,1,0,0,0,0,0,0,5.35227,0.0618,13.11,170.032,0.33,,,0.101,5650,732.409
2011,1,0,0,1,0,0,0,0,0,0,5.35227,0.0618,13.115,168.13207,0.37,,,,5650,732.409
2011,1,0,0,1,0,0,0,0,0,0,3.7681,0.0481,11.433,765.9703,0.081,,,,5740,1176.12
2011,1,0,0,1,0,0,0,0,0,0,3.7681,0.0481,11.287,781.8618,,,1610,,5740,1176.12
2011,1,0,0,1,0,0,0,0,0,0,3.7681,0.0461,11.43,772.29,0,,1626,,5740,1176.12
2011,1,0,0,1,0,0,0,0,0,0,1.90008625,,15.05,,,823.7,1366,,5440,764.889
2011,1,0,0,1,0,0,0,0,0,0,1.9000693,0.0295,14.684,1099.6918,0.025,,,,5440,764.889
2011,1,0,0,1,0,0,0,0,0,0,1.9000693,0.0295,14.68,1102.82,0.08,,1550,0.1341,5440,764.889
2011,1,0,0,1,0,0,0,0,0,0,1.90009,0.0288,12.846,1048.839,,,1487,0.1331,,764.889
2011,1,0,0,1,0,0,0,0,0,0,1.9000693,0.0286,14.022,1039.3041,,,1490,,5440,764.889
