hostname,default_flag,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,sy_dist
TOI-500,1,Radial Velocity,2022,La Silla Observatory,6.6356,,,,47.3924
TOI-500,1,Radial Velocity,2022,La Silla Observatory,26.233,,,,47.3924
TOI-500,1,Radial Velocity,2022,La Silla Observatory,61.3,,,,47.3924
TOI-5153,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),20.33003,0.158,11.882,906,390.484
TOI-5153,0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),20.9108406,,11.355,739,390.484
TOI-5174,0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),12.21993461,,4.593,808,197.243
TOI-5174,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),12.214286,,5.351,,197.243
TOI-519,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1.26524452,,12.166,691,115.557
TOI-519,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1.2652328,0.012,11.994,760,115.557
TOI-5238,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),4.872171,,5.22,,290.646
TOI-5238,0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),4.8721904,,4.896,1042,290.646
TOI-530,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),6.38758417,,8.435,496,148.762
TOI-530,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),6.387597,0.052,9.303,565,148.762
TOI-532,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),2.3266508,0.0296,5.82,867,135.047
TOI-532,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),2.326811,,5.611,784,135.047
TOI-5398,0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),10.590923,,11.119,919,130.855
TOI-5398,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),10.590923,,11.657,,130.855
TOI-540,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.2391491,0.01223,0.903,611,14.0022
TOI-540,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.23915336,,0.965,550,14.0022
TOI-540,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.2391481,,,,14.0022
TOI-544,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1.548351,0.0251,2.03,1082,41.1166
TOI-544,0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1.54835417,,2.16,1004,41.1166
TOI-5542,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),75.12375,0.332,11.31,441,348.849
TOI-5542,0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),75.1247037,,13.806,462,348.849
TOI-558,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),14.57289854,,13.53,1013,402.63
TOI-558,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),14.574071,0.1291,12.173,1061,402.63
TOI-559,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),6.9839095,0.0723,12.229,1180,233.266
TOI-559,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),6.9839072,,12.24,1249,233.266
